spindle_load,x,y,z,csv_no,vibration_1,vibration_2,vibration_3,current,last_time
19.04355,798.1755,37.731,474.838,1.0,31.9539472102,31.526421509000002,31.7844102546,1.54863326001,165
19.04355,798.1755,37.731,474.838,1.0,31.8491922218,31.3638793978,31.712927534099997,1.47324960819,165
19.04355,798.1755,37.731,474.838,1.0,31.398399175,30.801620369499997,31.3041976409,1.45570582095,130
19.04355,798.1755,37.731,474.838,1.0,31.2440204388,30.533520132600003,31.127413547600003,1.20167129095,130
19.04355,798.1755,37.731,474.838,1.0,31.3336260681,30.558976130100003,31.1047050291,1.35413357372,130
19.04355,798.1755,37.731,474.838,1.0,32.0253441368,31.2096855874,31.6731601006,1.72130680367,160
19.04355,798.1755,37.731,474.838,1.0,32.3595493538,31.611946616100006,32.1951007575,1.7434152819599995,190
19.04355,798.1755,37.731,474.838,1.0,32.5882948068,31.9725228171,32.6064382819,1.54912169988,190
17.169713,769.6495,46.8712,474.838,1.0,32.4560554602,31.7700830454,32.640921064400004,1.4095513073,190
17.169713,769.6495,46.8712,474.838,1.0,31.5208325631,30.949736178000002,31.9525874345,1.31172410885,95
17.169713,769.6495,46.8712,474.838,1.0,31.1383825694,30.651134795100003,31.46812391,1.0641804546200002,130
17.169713,769.6495,46.8712,474.838,1.0,31.0690134537,30.6000402732,31.386124021399997,1.2019640638299998,130
17.169713,769.6495,46.8712,474.838,1.0,31.2436004691,30.770786067399996,31.6712158094,1.4412987874599998,130
17.169713,769.6495,46.8712,474.838,1.0,31.16196719,30.6543010976,31.576005815300004,1.12438179581,130
15.936766,754.498,74.7794,474.838,1.0,31.0130130563,30.5233543334,31.4020960888,0.946206046005,130
15.936766,754.498,74.7794,474.838,1.0,30.8547676746,30.5017614588,31.220177955,1.05117658405,130
15.936766,754.498,74.7794,474.838,1.0,30.936174655,30.533398658499998,31.2681267578,1.1751920474600002,130
15.936766,754.498,74.7794,474.838,1.0,31.620954131199998,31.174440079,31.6602108813,1.33662787832,160
15.936766,754.498,74.7794,474.838,1.0,31.7402321808,31.522140166,32.0126215679,1.4537892070299998,170
15.936766,754.498,74.7794,474.838,1.0,31.788817487,31.590555658400003,31.869417876900002,1.46810855258,170
15.936766,754.498,74.7794,474.838,1.0,31.853991210100002,31.6282230879,31.862943834099998,1.30505161556,190
15.936766,754.498,74.7794,474.838,1.0,31.387119671100002,31.1533547204,31.2463728316,1.38354375528,160
19.467757,754.4574,106.7866,474.838,1.0,31.1833120076,31.1020258086,31.1027806732,0.924489343951,130
19.467757,754.4574,106.7866,474.838,1.0,31.1559583588,31.115477318299998,31.1043039668,1.3322857088700002,130
19.467757,754.4574,106.7866,474.838,1.0,31.693136133600007,31.3793679235,31.490354054,1.37927946416,95
19.467757,754.4574,106.7866,474.838,1.0,31.9548317811,31.5358262652,31.7248444782,1.26656385013,165
19.467757,754.4574,106.7866,474.838,1.0,31.858363646799997,31.3840381011,31.533084361999997,1.22708221632,95
19.467757,754.4574,106.7866,474.838,1.0,31.380746688800002,30.871860652,31.1950498372,1.47356449122,130
21.900082,742.0447,131.1444,474.838,1.0,31.270711221,30.7192820079,30.9883460948,1.09116870236,130
21.900082,742.0447,131.1444,474.838,1.0,31.3023479721,30.7156576967,31.0619314863,1.15442656716,130
21.900082,742.0447,131.1444,474.838,1.0,31.9651758583,31.1684436333,31.568658188,1.22625553668,160
21.900082,742.0447,131.1444,474.838,1.0,32.0330605193,31.2812870844,31.758558654899996,1.31288227595,165
21.900082,742.0447,131.1444,474.838,1.0,31.9104162314,31.295409410599998,31.732527255,1.15132011296,165
21.900082,742.0447,131.1444,474.838,1.0,31.917582632800002,31.3218046895,31.825718782600003,1.18438483799,170
21.900082,742.0447,131.1444,474.838,1.0,31.981234623600002,31.2471401339,31.9420722664,1.23201420554,190
17.587817,715.1939,132.731,474.838,1.0,31.861257856799998,31.4005022289,32.0434471286,1.19358060305,170
17.587817,715.1939,132.731,474.838,1.0,31.7848119718,31.447838327800003,32.1599873937,1.18613167797,170
17.587817,715.1939,132.731,474.838,1.0,31.7215409233,31.437795972300002,32.0681180549,1.09692088646,170
17.587817,715.1939,132.731,474.838,1.0,31.7903398767,31.346250394000002,32.100230731799996,1.1117998022,170
17.587817,715.1939,132.731,474.838,1.0,31.6946810729,31.410509677199997,32.0236698498,1.3011882623,170
17.587817,715.1939,132.731,474.838,1.0,31.6033344529,31.458207187600003,31.9497090299,1.15578406491,170
19.763787,673.1939,132.731,474.838,1.0,31.7081155469,31.5290597354,31.939600008699998,1.30187853667,170
19.763787,673.1939,132.731,474.838,1.0,31.755007616799997,31.547675227600003,31.8351577356,1.08527494699,170
19.763787,673.1939,132.731,474.838,1.0,31.6980793934,31.6557939741,31.8441874679,1.10868722245,170
19.763787,673.1939,132.731,474.838,1.0,31.6926109373,31.762216035300003,31.8813382744,1.06111736808,170
19.763787,673.1939,132.731,474.838,1.0,31.7117221182,31.6330254567,31.7169289502,1.06817500775,165
